question,answer
"When did the American Revolutionary War begin?","1775."
"Who was the commander of the Continental Army?","George Washington."
"What treaty ended the Revolutionary War?","The Treaty of Paris (1783)."
"What was the main reason colonists revolted against Britain?","Taxation without representation."
"What was the Stamp Act?","A British tax on printed materials in the colonies."
"Who rode to warn of the British coming in 1775?","Paul Revere."
"What was the purpose of the First Continental Congress?","To coordinate colonial resistance to Britain."
"What was the purpose of the Second Continental Congress?","To manage the war effort and eventually declare independence."
"What was the significance of the Battle of Saratoga?","It convinced France to support the Americans."
"Which country assisted the colonies during the Revolution?","France."
"What was the Articles of Confederation?","The first U.S. government framework."
"Why was the Articles of Confederation replaced?","It was too weak and gave too little power to Congress."
"What year was the Constitution ratified?","1788."
"Who was the first Chief Justice of the Supreme Court?","John Jay."
"What is the system that prevents one branch of government from becoming too powerful?","Checks and balances."
"What did the 1st Amendment protect?","Freedom of speech, religion, press, assembly, and petition."
"What did the 2nd Amendment protect?","The right to bear arms."
"What did the 4th Amendment protect?","Protection against unreasonable searches and seizures."
"What did the 5th Amendment protect?","The right against self-incrimination and double jeopardy."
"What rebellion showed the weaknesses of the Articles of Confederation?","Shays' Rebellion."
"Who was the second President of the United States?","John Adams."
"What was the XYZ Affair?","A diplomatic conflict between the U.S. and France."
"What was the purpose of the Alien and Sedition Acts?","To restrict dissent against the government."
"Who was the third President of the United States?","Thomas Jefferson."
"What U.S. expedition explored the west after the Louisiana Purchase?","The Lewis and Clark Expedition."
"Who was the fourth President of the United States?","James Madison."
"What caused the War of 1812?","British interference with American trade and sailors."
"What was burned during the War of 1812?","The White House and Capitol."
"What was the outcome of the War of 1812?","It ended in a stalemate but boosted national pride."
"What was the Era of Good Feelings?","A period of national unity during James Monroe’s presidency."
"What was the Missouri Compromise?","A deal to balance free and slave states."
"What was the Monroe Doctrine?","A warning to Europe not to colonize the Americas."
"What invention boosted cotton production?","The cotton gin."
"What was the Indian Removal Act?","A law forcing Native Americans to move west of the Mississippi."
"Who led the Cherokee on the Trail of Tears?","Chief John Ross."
"What religious revival occurred in the early 1800s?","The Second Great Awakening."
"What was the abolitionist movement?","A campaign to end slavery."
"Who published the antislavery newspaper 'The Liberator'?","William Lloyd Garrison."
"Who led a major slave rebellion in 1831?","Nat Turner."
"What was the Seneca Falls Convention?","The first women’s rights convention."
"When was the Seneca Falls Convention held?","1848."
"What was the California Gold Rush?","A mass migration to California starting in 1848."
"What president supported the idea of Manifest Destiny?","James K. Polk."
"What event started the Mexican-American War?","Border disputes along the Rio Grande."
"What was gained from the Mexican-American War?","The Mexican Cession territories."
"What compromise tried to reduce tensions over slavery in 1850?","The Compromise of 1850."
"What was the Fugitive Slave Act?","A law requiring escaped slaves to be returned to their owners."
"What novel increased antislavery sentiment?","Uncle Tom's Cabin."
"Who wrote Uncle Tom’s Cabin?","Harriet Beecher Stowe."
"What political party opposed the expansion of slavery?","The Republican Party."
"Who was elected President in 1860?","Abraham Lincoln."
"What event caused Southern states to secede?","Lincoln's election."
"Which state was the first to secede?","South Carolina."
"What was the capital of the Confederacy?","Richmond, Virginia."
"Who was the president of the Confederacy?","Jefferson Davis."
"Who was the top Confederate general?","Robert E. Lee."
"Who was the top Union general at the end of the war?","Ulysses S. Grant."
"What battle is considered the turning point of the Civil War?","The Battle of Gettysburg."
"What was Sherman's March to the Sea?","A destructive Union campaign through Georgia."
"When was Lincoln assassinated?","April 14, 1865."
"Who assassinated Abraham Lincoln?","John Wilkes Booth."
"What period followed the Civil War to rebuild the South?","Reconstruction."
"What amendment granted citizenship to former slaves?","The 14th Amendment."
"What amendment granted African American men the right to vote?","The 15th Amendment."
"What organization tried to help freed slaves after the war?","The Freedmen’s Bureau."
"What was sharecropping?","A farming system trapping freedmen in debt."
"What laws enforced racial segregation in the South?","Jim Crow laws."
"What Supreme Court case upheld segregation?","Plessy v. Ferguson."
"What invention revolutionized business in the late 1800s?","The telephone."
"Who invented the telephone?","Alexander Graham Bell."
"Who created a mass-production process for automobiles?","Henry Ford."
"What was the Gilded Age?","A period of economic growth and corruption."
"What was the Progressive Era?","A period of reform against industrial problems."
"Who exposed corruption during the Progressive Era?","Muckrakers."
"Who wrote 'The Jungle'?","Upton Sinclair."
"What did 'The Jungle' lead to?","Food safety laws."
"What event started World War I?","The assassination of Archduke Franz Ferdinand."
"When did the U.S. enter WWI?","1917."
"What was the Zimmerman Telegram?","A German attempt to ally with Mexico against the U.S."
"What movement banned alcohol?","Prohibition."
"What amendment started Prohibition?","The 18th Amendment."
"What amendment ended Prohibition?","The 21st Amendment."
"What happened in 1929?","The stock market crashed, starting the Great Depression."
"What region was devastated by the Dust Bowl?","The Great Plains."
"Who was president during the start of the Great Depression?","Herbert Hoover."
"What program helped the U.S. recover from the Depression?","The New Deal."
"What event brought the U.S. into WWII?","The attack on Pearl Harbor."
"When did WWII end?","1945."
"What was the Holocaust?","The genocide of Jews by Nazi Germany."
"Who ordered the dropping of atomic bombs on Japan?","Harry S. Truman."
"What was the Cold War?","A rivalry between the U.S. and Soviet Union."
"What was the Marshall Plan?","Aid to rebuild Europe after WWII."
"What conflict began in 1950 to stop communism?","The Korean War."
"Who led the Montgomery Bus Boycott?","Martin Luther King Jr."
"What Supreme Court case ended school segregation?","Brown v. Board of Education."
"What was the purpose of the March on Washington?","To demand civil rights."
"Who signed the Civil Rights Act of 1964?","Lyndon B. Johnson."
"What war was protested heavily in the 1960s?","The Vietnam War."
"When did the U.S. land on the moon?","1969."
"Who resigned because of the Watergate scandal?","Richard Nixon."
"What was the main goal of the Federalist Party?","To support a strong national government."
"What was the main goal of the Democratic-Republican Party?","To support states’ rights and limited government."
"Who was the first Secretary of State?","Thomas Jefferson."
"What rebellion protested a tax on whiskey in the 1790s?","The Whiskey Rebellion."
"Which event proved the new Constitution was strong?","The suppression of the Whiskey Rebellion."
"What was the significance of Marbury v. Madison?","It established judicial review."
"Who was the chief justice in Marbury v. Madison?","John Marshall."
"What was impressment?","British seizure of American sailors for their navy."
"What ship was attacked, pushing America toward war in 1812?","The USS Chesapeake."
"What was the Hartford Convention?","A meeting of Federalists opposed to the War of 1812."
"What territory became a state as part of the Missouri Compromise?","Missouri."
"What free state entered along with Missouri?","Maine."
"Who invented the telegraph?","Samuel Morse."
"What did Samuel Morse invent?","The telegraph and Morse code."
"What is Morse code?","A communication system using dots and dashes."
"When did the transcontinental railroad finish?","1869."
"Where did the two sides of the transcontinental railroad meet?","Promontory Point, Utah."
"What industry dominated Andrew Carnegie?","Steel."
"What industry dominated John D. Rockefeller?","Oil."
"What is a monopoly?","When one company controls an entire industry."
"What event killed many workers advocating for an 8-hour workday in 1886?","The Haymarket Riot."
"What organization fought for better wages and conditions in the 1800s?","Labor unions."
"What was the Chinese Exclusion Act?","A law banning Chinese immigration in 1882."
"What was the Dawes Act?","A law forcing Native Americans to assimilate."
"What was the purpose of settlement houses?","To help immigrants and the urban poor."
"Who founded Hull House?","Jane Addams."
"What newspaper owners fueled sensationalism in the 1890s?","Joseph Pulitzer and William Randolph Hearst."
"What is yellow journalism?","Exaggerated or misleading news to attract readers."
"What war began after the USS Maine exploded?","The Spanish–American War."
"When was the Spanish–American War?","1898."
"What territory did the U.S. gain after the Spanish–American War?","Puerto Rico, Guam, and the Philippines."
"What was the purpose of the Open Door Policy?","To allow equal trade in China."
"What was the Roosevelt Corollary?","A policy claiming U.S. policing power in Latin America."
"Who built the Panama Canal?","The United States."
"When did construction of the Panama Canal finish?","1914."
"What was the Great Migration?","Movement of African Americans from the South to northern cities."
"What was the Red Scare?","Fear of communism in the U.S."
"What were flappers?","Young women of the 1920s who challenged social norms."
"What was the Scopes Trial about?","Teaching evolution in schools."
"Who was the prosecutor in the Scopes Trial?","William Jennings Bryan."
"Who was the defense lawyer in the Scopes Trial?","Clarence Darrow."
"What event marked the start of WWII?","Germany’s invasion of Poland in 1939."
"What did the Lend-Lease Act do?","Provided U.S. aid to Allies before joining WWII."
"What was D-Day?","The Allied invasion of Normandy on June 6, 1944."
"What was the Manhattan Project?","The U.S. program to build atomic bombs."
"Where were atomic bombs dropped?","Hiroshima and Nagasaki."
"What was the purpose of NATO?","To create a military alliance against the USSR."
"When was NATO founded?","1949."
"What was the GI Bill designed to help with?","Education and housing for WWII veterans."
